"subj_idx","congruency","AffValue","response","rt"
0,"Co","neg",1,0.555776199998945
0,"Co","neg",1,0.466611599997123
0,"Co","neg",1,0.442468099998223
0,"Co","neg",1,0.393464500000846
0,"Co","neg",1,0.47274760000073
0,"Co","neg",0,0.540916599999036
0,"Co","neg",1,0.701349799997843
0,"Co","neg",1,0.459170499998436
0,"Co","neg",1,0.580563499999698
0,"Co","neg",1,0.59812100000272
0,"Co","neg",1,0.565237599999818
0,"Co","neg",1,0.51667880000241
0,"Co","neg",1,0.53969049999796
0,"Co","neg",1,0.56794599999921
0,"Co","neg",1,0.539078900001186
0,"Co","neg",1,0.653810900003009
0,"Co","neg",1,0.584243199999037
0,"Co","neg",1,0.661501099999441
0,"Co","neg",1,0.526831899998797
0,"Co","neg",1,0.536393400001543
0,"Co","neg",1,0.521734800000559
0,"Co","neg",1,0.587221699999645
0,"Co","neg",0,0.397965399999521
0,"Co","neg",1,0.573703300000489
0,"Co","neg",1,0.528248800001165
0,"Co","neg",1,0.441449199999624
0,"Co","neg",1,0.529626700001245
0,"Co","neg",1,0.499352400001953
0,"Co","neg",1,0.563074699999561
0,"Co","neg",1,0.530474700000923
0,"Co","neg",1,0.510972599997331
0,"Co","neg",1,0.531035500000144
0,"Co","neg",1,0.608810900001117
0,"Co","neg",1,0.575530300000537
0,"Co","neg",1,0.588472899999033
0,"Co","neg",1,0.820945700001175
0,"Co","neg",0,0.43080320000081
0,"Co","neg",1,0.814646899998479
0,"Co","neg",1,0.536903000000166
0,"Co","neg",1,0.575846499999898
0,"Co","neg",1,0.562914800000726
0,"Co","neg",1,0.565264799999568
0,"Co","neg",1,0.477541600001132
0,"Co","neg",1,0.538607399998
0,"Co","neg",1,0.610545399998955
0,"Co","neg",1,0.396927400001005
0,"Co","neg",1,0.520024900000863
0,"Co","neg",1,0.489413899998908
0,"Co","neg",1,0.48530970000138
0,"Co","neg",1,0.519884499997715
0,"Co","neg",1,0.45580770000015
0,"Co","neg",1,0.628708699998242
0,"Co","neg",1,0.5367989999977
0,"Co","neg",1,0.676772499999061
0,"Co","neg",1,0.51279649999924
0,"Co","neg",1,0.500718700001016
0,"Co","neg",1,0.464678000000276
0,"Co","neg",1,0.371855099998356
0,"Co","neg",1,0.457596800002648
0,"Co","neg",1,0.497881100000086
0,"Co","neg",1,0.593255400002818
0,"Co","neg",1,0.480641499998455
0,"Co","neg",1,0.507755599999655
0,"Co","neg",1,0.607174600001599
0,"Co","neg",1,0.534275199999684
0,"Co","neg",1,0.57029859999966
0,"Co","neg",1,0.495214300000953
0,"Co","neg",1,0.476843899999949
0,"Co","neg",1,0.547079500000109
0,"Co","neg",1,0.612355900000694
0,"Co","neg",1,0.61681850000241
0,"Co","neg",1,0.473054199999751
0,"Co","neg",1,0.525633699999162
0,"Co","neg",1,0.611630700001115
0,"Co","neg",1,0.543682899999112
0,"Co","neg",1,0.683039300001838
0,"Co","neg",1,0.38537340000039
0,"Co","neg",1,0.651965499997459
0,"Co","neg",1,0.571883000000525
0,"Co","neg",1,0.452246900000318
0,"Co","pos",1,0.521123999998963
0,"Co","pos",1,0.521547600001213
0,"Co","pos",0,0.512494200000219
0,"Co","pos",1,0.401996000000509
0,"Co","pos",1,0.568392100001802
0,"Co","pos",1,0.52725780000037
0,"Co","pos",1,0.664693199996691
0,"Co","pos",1,0.473118599998998
0,"Co","pos",1,0.555381099999067
0,"Co","pos",1,0.609053899999708
0,"Co","pos",1,0.536456599998928
0,"Co","pos",1,0.641441699997813
0,"Co","pos",1,0.599433899998985
0,"Co","pos",1,0.630319699997926
0,"Co","pos",1,0.573592699998699
0,"Co","pos",1,0.5105212999988
0,"Co","pos",1,0.470137199998135
0,"Co","pos",1,0.467812499999127
0,"Co","pos",1,0.497850399999152
0,"Co","pos",1,0.603111599997646
0,"Co","pos",1,0.511389100000088
0,"Co","pos",1,0.568852700002026
0,"Co","pos",1,0.435256000000663
0,"Co","pos",1,0.577590699998836
