,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t_subj.7,0.412,0.011,0.395,0.429,0.0,0.0,1309.0,1527.0,1.0
t_subj.8,0.388,0.021,0.371,0.414,0.001,0.001,998.0,587.0,1.0
t_subj.9,0.308,0.007,0.295,0.319,0.0,0.0,3355.0,4530.0,1.0
t_subj.10,0.357,0.017,0.33,0.383,0.001,0.0,698.0,1216.0,1.0
t_subj.11,0.412,0.013,0.395,0.429,0.001,0.0,988.0,892.0,1.01
t_subj.12,0.46,0.019,0.425,0.496,0.001,0.0,1102.0,2031.0,1.0
t_subj.13,0.428,0.021,0.394,0.458,0.001,0.0,2547.0,3680.0,1.0
t_subj.14,0.341,0.011,0.325,0.36,0.0,0.0,1645.0,1205.0,1.0
t_subj.15,0.4,0.012,0.385,0.416,0.001,0.0,929.0,765.0,1.01
t_subj.16,0.384,0.008,0.372,0.396,0.0,0.0,5766.0,8165.0,1.0
t_subj.17,0.355,0.011,0.342,0.369,0.0,0.0,2828.0,3924.0,1.0
t_subj.18,0.401,0.013,0.393,0.41,0.001,0.001,1766.0,860.0,1.0
t_subj.19,0.346,0.015,0.328,0.364,0.001,0.0,992.0,693.0,1.0
t_subj.20,0.341,0.013,0.318,0.363,0.0,0.0,1356.0,1280.0,1.0
t_subj.21,0.375,0.02,0.341,0.412,0.0,0.0,2056.0,4068.0,1.0
t_subj.22,0.428,0.008,0.413,0.44,0.0,0.0,2737.0,5571.0,1.0
t_subj.23,0.308,0.013,0.29,0.324,0.0,0.0,2621.0,2435.0,1.0
t_subj.24,0.384,0.012,0.363,0.404,0.0,0.0,2606.0,4266.0,1.0
t_subj.25,0.383,0.022,0.355,0.412,0.001,0.001,1037.0,685.0,1.0
t_subj.26,0.428,0.013,0.407,0.45,0.0,0.0,2121.0,3585.0,1.0
t_subj.27,0.483,0.029,0.439,0.527,0.001,0.001,1334.0,1554.0,1.0
t_subj.28,0.468,0.029,0.43,0.506,0.001,0.001,1199.0,1196.0,1.0
t_subj.30,0.368,0.022,0.334,0.403,0.001,0.0,2247.0,3393.0,1.0
t_subj.31,0.418,0.022,0.381,0.449,0.001,0.001,896.0,1590.0,1.0
t_subj.32,0.367,0.014,0.347,0.389,0.0,0.0,1894.0,2039.0,1.0
t_subj.33,0.385,0.014,0.36,0.407,0.0,0.0,2391.0,3906.0,1.0
t_subj.34,0.328,0.013,0.313,0.344,0.001,0.0,1983.0,2299.0,1.0
t_subj.35,0.334,0.013,0.314,0.352,0.001,0.0,962.0,695.0,1.0
t_subj.36,0.412,0.015,0.389,0.434,0.0,0.0,1553.0,2274.0,1.0
t_subj.37,0.402,0.011,0.39,0.415,0.0,0.0,1613.0,1224.0,1.0
t_subj.38,0.39,0.014,0.37,0.41,0.001,0.0,1105.0,1005.0,1.01
t_subj.39,0.391,0.018,0.367,0.416,0.001,0.0,1598.0,1890.0,1.0
t_subj.40,0.425,0.022,0.399,0.446,0.001,0.001,870.0,841.0,1.0
t_subj.41,0.37,0.01,0.356,0.384,0.0,0.0,2537.0,3675.0,1.0
t_subj.42,0.356,0.013,0.337,0.375,0.001,0.0,810.0,708.0,1.0
t_subj.43,0.405,0.014,0.383,0.43,0.0,0.0,2757.0,4334.0,1.0
t_subj.44,0.394,0.012,0.378,0.411,0.0,0.0,2012.0,2005.0,1.0
t_subj.45,0.395,0.02,0.367,0.424,0.001,0.001,1088.0,1063.0,1.0
t_subj.46,0.439,0.024,0.413,0.472,0.001,0.001,686.0,1323.0,1.0
t_subj.47,0.412,0.022,0.386,0.441,0.001,0.001,1961.0,2247.0,1.0
t_subj.48,0.423,0.022,0.383,0.461,0.001,0.0,1571.0,2293.0,1.0
t_subj.49,0.346,0.017,0.324,0.371,0.001,0.001,1012.0,973.0,1.0
t_subj.50,0.329,0.015,0.311,0.346,0.001,0.0,1787.0,1651.0,1.0
t_subj.51,0.43,0.027,0.397,0.466,0.001,0.001,1055.0,746.0,1.0
t_subj.52,0.458,0.037,0.406,0.513,0.001,0.001,1442.0,1747.0,1.0
z(neg.Co),0.405,0.014,0.379,0.427,0.001,0.0,1263.0,839.0,1.0
z(neg.Ic),0.403,0.014,0.38,0.426,0.001,0.0,1461.0,940.0,1.0
z(pos.Co),0.471,0.014,0.447,0.495,0.0,0.0,1384.0,1207.0,1.0
z(pos.Ic),0.476,0.014,0.451,0.5,0.001,0.0,1301.0,1182.0,1.0
z_std,0.265,0.023,0.227,0.302,0.001,0.001,1251.0,1026.0,1.0
z_subj(neg.Co).0,0.436,0.045,0.352,0.518,0.001,0.001,3054.0,3218.0,1.0
z_subj(neg.Co).1,0.35,0.039,0.277,0.423,0.001,0.0,4964.0,7145.0,1.0
z_subj(neg.Co).2,0.412,0.043,0.336,0.489,0.001,0.001,1825.0,771.0,1.0
z_subj(neg.Co).3,0.259,0.042,0.188,0.336,0.001,0.001,2472.0,1790.0,1.0
z_subj(neg.Co).4,0.308,0.038,0.239,0.377,0.001,0.001,3964.0,3106.0,1.0
z_subj(neg.Co).5,0.39,0.033,0.329,0.452,0.0,0.0,8904.0,11548.0,1.0
z_subj(neg.Co).6,0.363,0.041,0.287,0.433,0.001,0.001,3129.0,1687.0,1.0
z_subj(neg.Co).7,0.416,0.046,0.331,0.498,0.001,0.001,2661.0,2658.0,1.0
z_subj(neg.Co).8,0.447,0.046,0.365,0.533,0.001,0.001,1950.0,1354.0,1.0
z_subj(neg.Co).9,0.298,0.034,0.235,0.361,0.0,0.0,7280.0,10240.0,1.0
z_subj(neg.Co).10,0.419,0.044,0.336,0.495,0.001,0.001,2905.0,2111.0,1.0
z_subj(neg.Co).11,0.399,0.042,0.318,0.474,0.001,0.001,2259.0,2661.0,1.0
z_subj(neg.Co).12,0.41,0.042,0.329,0.485,0.001,0.001,3426.0,3227.0,1.0
z_subj(neg.Co).13,0.506,0.043,0.424,0.585,0.001,0.001,2940.0,5200.0,1.0
z_subj(neg.Co).14,0.306,0.043,0.229,0.382,0.001,0.001,2328.0,1402.0,1.0
z_subj(neg.Co).15,0.462,0.047,0.372,0.544,0.001,0.001,1465.0,874.0,1.0
z_subj(neg.Co).16,0.344,0.032,0.284,0.406,0.0,0.0,9928.0,12587.0,1.0
z_subj(neg.Co).17,0.366,0.04,0.292,0.44,0.001,0.001,4589.0,4052.0,1.0
z_subj(neg.Co).18,0.376,0.04,0.305,0.443,0.001,0.001,2917.0,1724.0,1.0
z_subj(neg.Co).19,0.36,0.042,0.285,0.437,0.001,0.001,2892.0,2100.0,1.0
z_subj(neg.Co).20,0.383,0.041,0.307,0.452,0.001,0.001,3755.0,2210.0,1.0
z_subj(neg.Co).21,0.394,0.042,0.317,0.475,0.001,0.0,4387.0,4660.0,1.0
z_subj(neg.Co).22,0.494,0.04,0.421,0.57,0.001,0.0,4777.0,6933.0,1.0
z_subj(neg.Co).23,0.339,0.039,0.267,0.412,0.001,0.0,5805.0,6376.0,1.0
z_subj(neg.Co).24,0.4,0.04,0.325,0.476,0.001,0.0,5445.0,8793.0,1.0
z_subj(neg.Co).25,0.322,0.042,0.247,0.397,0.001,0.001,2199.0,1058.0,1.0
z_subj(neg.Co).26,0.428,0.039,0.357,0.501,0.001,0.0,5302.0,6304.0,1.0
z_subj(neg.Co).27,0.444,0.043,0.366,0.52,0.001,0.001,2661.0,1791.0,1.0
z_subj(neg.Co).28,0.42,0.041,0.342,0.495,0.001,0.001,3303.0,2721.0,1.0
z_subj(neg.Co).30,0.47,0.041,0.396,0.548,0.001,0.001,3369.0,3851.0,1.0
z_subj(neg.Co).31,0.479,0.044,0.395,0.559,0.001,0.001,3013.0,3952.0,1.0
z_subj(neg.Co).32,0.461,0.041,0.383,0.535,0.001,0.001,3947.0,3773.0,1.0
z_subj(neg.Co).33,0.416,0.041,0.338,0.492,0.001,0.001,3094.0,3169.0,1.0
z_subj(neg.Co).34,0.379,0.041,0.304,0.456,0.001,0.0,4815.0,7603.0,1.0
z_subj(neg.Co).35,0.426,0.042,0.346,0.504,0.001,0.001,3496.0,2741.0,1.0
z_subj(neg.Co).36,0.494,0.042,0.413,0.572,0.001,0.001,2911.0,4444.0,1.0
z_subj(neg.Co).37,0.438,0.047,0.353,0.52,0.001,0.001,2254.0,1643.0,1.0
z_subj(neg.Co).38,0.392,0.043,0.311,0.469,0.001,0.001,3039.0,1728.0,1.0
z_subj(neg.Co).39,0.438,0.041,0.364,0.516,0.001,0.0,3955.0,3728.0,1.0
z_subj(neg.Co).40,0.497,0.049,0.404,0.587,0.001,0.001,1906.0,3646.0,1.0
z_subj(neg.Co).41,0.393,0.039,0.32,0.467,0.001,0.0,5804.0,9314.0,1.0
z_subj(neg.Co).42,0.449,0.046,0.363,0.536,0.001,0.001,2715.0,2839.0,1.0
z_subj(neg.Co).43,0.423,0.041,0.345,0.498,0.001,0.0,5710.0,9433.0,1.0
z_subj(neg.Co).44,0.437,0.052,0.34,0.532,0.001,0.001,2729.0,3657.0,1.0
z_subj(neg.Co).45,0.362,0.042,0.283,0.442,0.001,0.001,3417.0,3669.0,1.0
z_subj(neg.Co).46,0.423,0.047,0.335,0.506,0.001,0.001,1271.0,1775.0,1.0
z_subj(neg.Co).47,0.441,0.044,0.362,0.523,0.001,0.001,2830.0,3009.0,1.0
z_subj(neg.Co).48,0.419,0.042,0.34,0.5,0.001,0.001,3470.0,3972.0,1.0
z_subj(neg.Co).49,0.385,0.045,0.302,0.466,0.001,0.001,3133.0,4096.0,1.0
z_subj(neg.Co).50,0.381,0.04,0.309,0.458,0.001,0.001,3781.0,3641.0,1.0
z_subj(neg.Co).51,0.449,0.043,0.367,0.529,0.001,0.001,2183.0,1700.0,1.0
z_subj(neg.Co).52,0.411,0.042,0.331,0.487,0.001,0.001,3946.0,4188.0,1.0
z_subj(neg.Ic).0,0.442,0.042,0.362,0.521,0.001,0.001,3041.0,2913.0,1.0
z_subj(neg.Ic).1,0.34,0.038,0.269,0.41,0.0,0.0,5855.0,9359.0,1.0
z_subj(neg.Ic).2,0.408,0.042,0.327,0.484,0.001,0.001,2185.0,1281.0,1.0
z_subj(neg.Ic).3,0.308,0.04,0.234,0.381,0.001,0.0,4176.0,3845.0,1.0
z_subj(neg.Ic).4,0.277,0.031,0.219,0.335,0.0,0.0,5540.0,5277.0,1.0
z_subj(neg.Ic).5,0.434,0.037,0.367,0.505,0.0,0.0,8967.0,12013.0,1.0
z_subj(neg.Ic).6,0.458,0.041,0.382,0.53,0.001,0.001,3465.0,1751.0,1.0
z_subj(neg.Ic).7,0.486,0.044,0.403,0.567,0.001,0.001,2805.0,2537.0,1.0
z_subj(neg.Ic).8,0.444,0.044,0.362,0.523,0.001,0.001,2392.0,1214.0,1.0
z_subj(neg.Ic).9,0.285,0.028,0.233,0.339,0.0,0.0,8401.0,11864.0,1.0
z_subj(neg.Ic).10,0.357,0.044,0.279,0.435,0.001,0.001,2891.0,1651.0,1.0
z_subj(neg.Ic).11,0.369,0.042,0.291,0.45,0.001,0.001,2829.0,4949.0,1.0
z_subj(neg.Ic).12,0.453,0.045,0.371,0.542,0.001,0.001,2859.0,4320.0,1.0
z_subj(neg.Ic).13,0.452,0.04,0.375,0.526,0.001,0.0,5075.0,7436.0,1.0
z_subj(neg.Ic).14,0.306,0.039,0.239,0.374,0.001,0.001,2565.0,1404.0,1.0
z_subj(neg.Ic).15,0.486,0.045,0.407,0.572,0.001,0.001,1255.0,875.0,1.0
z_subj(neg.Ic).16,0.325,0.032,0.267,0.384,0.0,0.0,10188.0,12165.0,1.0
z_subj(neg.Ic).17,0.315,0.036,0.249,0.382,0.001,0.0,5911.0,6242.0,1.0
z_subj(neg.Ic).18,0.343,0.037,0.279,0.406,0.001,0.001,4230.0,1792.0,1.0
z_subj(neg.Ic).19,0.382,0.042,0.306,0.457,0.001,0.001,3380.0,2922.0,1.0
z_subj(neg.Ic).20,0.443,0.049,0.35,0.531,0.001,0.001,2452.0,2409.0,1.0
z_subj(neg.Ic).21,0.415,0.038,0.341,0.484,0.001,0.0,5712.0,6548.0,1.0
z_subj(neg.Ic).22,0.47,0.042,0.392,0.549,0.001,0.0,3645.0,8048.0,1.0
z_subj(neg.Ic).23,0.393,0.041,0.317,0.468,0.001,0.001,4138.0,3288.0,1.0
z_subj(neg.Ic).24,0.4,0.04,0.328,0.478,0.0,0.0,6940.0,9075.0,1.0
z_subj(neg.Ic).25,0.364,0.046,0.277,0.445,0.001,0.001,1972.0,1013.0,1.0
z_subj(neg.Ic).26,0.473,0.039,0.402,0.549,0.001,0.0,4170.0,5741.0,1.0
z_subj(neg.Ic).27,0.461,0.042,0.381,0.535,0.001,0.001,3063.0,3044.0,1.0
z_subj(neg.Ic).28,0.373,0.041,0.299,0.448,0.001,0.001,3725.0,3266.0,1.0
z_subj(neg.Ic).30,0.468,0.041,0.39,0.544,0.001,0.0,5243.0,6986.0,1.0
z_subj(neg.Ic).31,0.446,0.046,0.357,0.53,0.001,0.001,3199.0,4962.0,1.0
z_subj(neg.Ic).32,0.465,0.041,0.388,0.539,0.001,0.001,3762.0,3763.0,1.0
z_subj(neg.Ic).33,0.357,0.04,0.286,0.435,0.001,0.0,5878.0,7879.0,1.0
z_subj(neg.Ic).34,0.333,0.037,0.265,0.405,0.0,0.0,5940.0,8624.0,1.0
z_subj(neg.Ic).35,0.437,0.043,0.357,0.519,0.001,0.001,2907.0,1994.0,1.0
z_subj(neg.Ic).36,0.457,0.043,0.375,0.538,0.001,0.001,3300.0,4627.0,1.0
z_subj(neg.Ic).37,0.467,0.046,0.384,0.545,0.001,0.001,2350.0,1743.0,1.0
z_subj(neg.Ic).38,0.385,0.042,0.304,0.461,0.001,0.001,3311.0,3536.0,1.0
z_subj(neg.Ic).39,0.418,0.042,0.34,0.498,0.001,0.001,3623.0,5539.0,1.0
z_subj(neg.Ic).40,0.407,0.043,0.325,0.484,0.001,0.0,4378.0,6272.0,1.0
z_subj(neg.Ic).41,0.379,0.038,0.308,0.448,0.0,0.0,6071.0,9964.0,1.0
z_subj(neg.Ic).42,0.386,0.046,0.301,0.471,0.001,0.001,2658.0,2913.0,1.0
z_subj(neg.Ic).43,0.43,0.038,0.358,0.5,0.001,0.0,5862.0,7803.0,1.0
z_subj(neg.Ic).44,0.456,0.041,0.383,0.531,0.001,0.001,3557.0,2493.0,1.0
z_subj(neg.Ic).45,0.36,0.042,0.283,0.436,0.001,0.001,3060.0,1801.0,1.0
z_subj(neg.Ic).46,0.387,0.042,0.31,0.463,0.001,0.001,2097.0,1988.0,1.0
z_subj(neg.Ic).47,0.482,0.041,0.404,0.556,0.001,0.001,3105.0,3834.0,1.0
z_subj(neg.Ic).48,0.44,0.042,0.36,0.519,0.001,0.001,3452.0,4372.0,1.0
z_subj(neg.Ic).49,0.401,0.044,0.319,0.481,0.001,0.001,2701.0,4898.0,1.0
z_subj(neg.Ic).50,0.383,0.039,0.308,0.454,0.001,0.001,3700.0,2577.0,1.0
z_subj(neg.Ic).51,0.456,0.043,0.375,0.536,0.001,0.001,2617.0,2863.0,1.0
z_subj(neg.Ic).52,0.4,0.042,0.319,0.475,0.001,0.001,4049.0,4187.0,1.0
z_subj(pos.Co).0,0.483,0.043,0.401,0.561,0.001,0.001,3170.0,3089.0,1.0
z_subj(pos.Co).1,0.358,0.038,0.29,0.431,0.001,0.0,5122.0,9668.0,1.0
z_subj(pos.Co).2,0.509,0.041,0.433,0.584,0.001,0.001,1962.0,1124.0,1.0
z_subj(pos.Co).3,0.556,0.043,0.472,0.633,0.001,0.001,2444.0,3312.0,1.0
z_subj(pos.Co).4,0.448,0.043,0.368,0.527,0.001,0.0,5729.0,5369.0,1.0
z_subj(pos.Co).5,0.506,0.038,0.435,0.578,0.0,0.0,6049.0,9216.0,1.0
z_subj(pos.Co).6,0.482,0.042,0.404,0.558,0.001,0.001,2658.0,1723.0,1.0
z_subj(pos.Co).7,0.418,0.044,0.334,0.5,0.001,0.001,2678.0,2261.0,1.0
z_subj(pos.Co).8,0.433,0.044,0.355,0.513,0.001,0.001,1659.0,1043.0,1.0
z_subj(pos.Co).9,0.491,0.038,0.422,0.563,0.001,0.0,5327.0,8221.0,1.0
z_subj(pos.Co).10,0.461,0.049,0.37,0.555,0.001,0.001,1783.0,2314.0,1.0
z_subj(pos.Co).11,0.505,0.043,0.425,0.585,0.001,0.001,2470.0,5049.0,1.0
z_subj(pos.Co).12,0.481,0.044,0.395,0.561,0.001,0.001,2825.0,4034.0,1.0
z_subj(pos.Co).13,0.482,0.039,0.41,0.557,0.0,0.0,6787.0,9216.0,1.0
z_subj(pos.Co).14,0.421,0.043,0.342,0.499,0.001,0.001,2461.0,1407.0,1.0
z_subj(pos.Co).15,0.398,0.044,0.319,0.475,0.001,0.001,1889.0,966.0,1.0
z_subj(pos.Co).16,0.456,0.042,0.376,0.536,0.001,0.0,5664.0,8131.0,1.0
z_subj(pos.Co).17,0.535,0.043,0.453,0.613,0.001,0.001,3653.0,4618.0,1.0
z_subj(pos.Co).18,0.424,0.038,0.356,0.499,0.001,0.0,4269.0,2864.0,1.0
z_subj(pos.Co).19,0.557,0.04,0.483,0.63,0.001,0.0,3662.0,6159.0,1.0
z_subj(pos.Co).20,0.44,0.046,0.353,0.524,0.001,0.001,2778.0,4959.0,1.0
z_subj(pos.Co).21,0.507,0.042,0.433,0.59,0.001,0.001,2729.0,5251.0,1.0
z_subj(pos.Co).22,0.447,0.036,0.381,0.516,0.0,0.0,8413.0,12258.0,1.0
z_subj(pos.Co).23,0.461,0.041,0.382,0.533,0.001,0.0,4594.0,7974.0,1.0
z_subj(pos.Co).24,0.362,0.036,0.296,0.43,0.0,0.0,6164.0,9683.0,1.0
z_subj(pos.Co).25,0.524,0.042,0.441,0.598,0.001,0.001,2155.0,1400.0,1.0
z_subj(pos.Co).26,0.452,0.039,0.375,0.523,0.001,0.0,4795.0,7450.0,1.0
z_subj(pos.Co).27,0.486,0.044,0.405,0.567,0.001,0.001,2376.0,2372.0,1.0
z_subj(pos.Co).28,0.529,0.041,0.451,0.604,0.001,0.001,2813.0,5243.0,1.0
z_subj(pos.Co).30,0.471,0.041,0.394,0.549,0.001,0.0,4156.0,5582.0,1.0
z_subj(pos.Co).31,0.434,0.044,0.35,0.515,0.001,0.001,3618.0,6945.0,1.0
z_subj(pos.Co).32,0.408,0.041,0.331,0.485,0.001,0.0,4204.0,5382.0,1.0
z_subj(pos.Co).33,0.509,0.041,0.429,0.584,0.001,0.0,3762.0,5073.0,1.0
z_subj(pos.Co).34,0.567,0.038,0.496,0.635,0.001,0.0,3745.0,6980.0,1.0
z_subj(pos.Co).35,0.351,0.041,0.272,0.427,0.001,0.001,2501.0,2487.0,1.0
z_subj(pos.Co).36,0.494,0.047,0.407,0.582,0.001,0.001,2670.0,4636.0,1.0
z_subj(pos.Co).37,0.474,0.044,0.398,0.552,0.001,0.001,2483.0,1567.0,1.0
z_subj(pos.Co).38,0.471,0.041,0.392,0.548,0.001,0.001,3189.0,3080.0,1.0
z_subj(pos.Co).39,0.477,0.039,0.402,0.55,0.001,0.0,4085.0,6904.0,1.0
z_subj(pos.Co).40,0.424,0.047,0.333,0.509,0.001,0.001,2557.0,3896.0,1.0
z_subj(pos.Co).41,0.482,0.04,0.404,0.555,0.001,0.0,3990.0,7286.0,1.0
z_subj(pos.Co).42,0.491,0.043,0.409,0.569,0.001,0.001,2285.0,2807.0,1.0
z_subj(pos.Co).43,0.453,0.041,0.372,0.529,0.001,0.0,5527.0,8072.0,1.0
z_subj(pos.Co).44,0.502,0.042,0.421,0.579,0.001,0.001,3539.0,3426.0,1.0
z_subj(pos.Co).45,0.547,0.042,0.468,0.626,0.001,0.001,3287.0,3641.0,1.0
z_subj(pos.Co).46,0.43,0.042,0.354,0.51,0.001,0.001,3942.0,3218.0,1.0
z_subj(pos.Co).47,0.473,0.038,0.4,0.543,0.001,0.001,3805.0,2900.0,1.0
z_subj(pos.Co).48,0.481,0.042,0.401,0.558,0.001,0.001,3569.0,4798.0,1.0
z_subj(pos.Co).49,0.515,0.044,0.43,0.592,0.001,0.001,2428.0,3818.0,1.0
z_subj(pos.Co).50,0.496,0.041,0.422,0.576,0.001,0.0,4045.0,4693.0,1.0
z_subj(pos.Co).51,0.455,0.043,0.373,0.53,0.001,0.001,2905.0,2450.0,1.0
z_subj(pos.Co).52,0.524,0.04,0.449,0.596,0.001,0.0,4471.0,6446.0,1.0
z_subj(pos.Ic).0,0.458,0.042,0.379,0.534,0.001,0.001,3280.0,2863.0,1.0
z_subj(pos.Ic).1,0.359,0.047,0.275,0.446,0.001,0.001,3181.0,7629.0,1.0
z_subj(pos.Ic).2,0.531,0.041,0.455,0.609,0.001,0.001,1872.0,1263.0,1.0
z_subj(pos.Ic).3,0.502,0.043,0.423,0.583,0.001,0.001,2169.0,2683.0,1.0
z_subj(pos.Ic).4,0.36,0.04,0.283,0.434,0.001,0.001,3517.0,3338.0,1.0
z_subj(pos.Ic).5,0.476,0.038,0.404,0.547,0.0,0.0,7102.0,11153.0,1.0
z_subj(pos.Ic).6,0.358,0.04,0.283,0.43,0.001,0.001,3162.0,1772.0,1.0
z_subj(pos.Ic).7,0.457,0.043,0.376,0.534,0.001,0.001,2640.0,2450.0,1.0
z_subj(pos.Ic).8,0.454,0.043,0.374,0.53,0.001,0.001,1894.0,1227.0,1.0
z_subj(pos.Ic).9,0.437,0.039,0.365,0.509,0.001,0.0,5523.0,9292.0,1.0
z_subj(pos.Ic).10,0.534,0.043,0.452,0.612,0.001,0.001,2200.0,2330.0,1.0
z_subj(pos.Ic).11,0.558,0.04,0.483,0.633,0.001,0.001,2018.0,4298.0,1.0
z_subj(pos.Ic).12,0.489,0.042,0.412,0.568,0.001,0.0,3799.0,5809.0,1.0
z_subj(pos.Ic).13,0.501,0.039,0.426,0.573,0.001,0.0,4733.0,7004.0,1.0
z_subj(pos.Ic).14,0.374,0.043,0.297,0.451,0.001,0.001,2052.0,927.0,1.0
z_subj(pos.Ic).15,0.379,0.046,0.292,0.458,0.002,0.001,1590.0,732.0,1.0
z_subj(pos.Ic).16,0.478,0.045,0.393,0.56,0.001,0.0,4705.0,8004.0,1.0
z_subj(pos.Ic).17,0.483,0.04,0.408,0.557,0.001,0.0,4559.0,5304.0,1.0
z_subj(pos.Ic).18,0.442,0.041,0.367,0.515,0.001,0.001,2838.0,1457.0,1.0
z_subj(pos.Ic).19,0.454,0.042,0.374,0.531,0.001,0.001,2589.0,1420.0,1.0
z_subj(pos.Ic).20,0.413,0.048,0.319,0.499,0.001,0.001,2386.0,2467.0,1.0
z_subj(pos.Ic).21,0.522,0.042,0.442,0.6,0.001,0.0,3696.0,4973.0,1.0
z_subj(pos.Ic).22,0.439,0.037,0.37,0.507,0.0,0.0,8654.0,9992.0,1.0
z_subj(pos.Ic).23,0.56,0.04,0.487,0.635,0.001,0.0,3664.0,6270.0,1.0
z_subj(pos.Ic).24,0.399,0.036,0.332,0.468,0.0,0.0,7772.0,11216.0,1.0
z_subj(pos.Ic).25,0.467,0.044,0.383,0.546,0.001,0.001,2238.0,1226.0,1.0
z_subj(pos.Ic).26,0.495,0.042,0.418,0.575,0.001,0.001,3148.0,3995.0,1.0
z_subj(pos.Ic).27,0.546,0.043,0.465,0.622,0.001,0.001,2414.0,2772.0,1.0
z_subj(pos.Ic).28,0.516,0.04,0.438,0.589,0.001,0.001,3243.0,5948.0,1.0
z_subj(pos.Ic).30,0.522,0.038,0.453,0.594,0.001,0.0,4970.0,5242.0,1.0
z_subj(pos.Ic).31,0.462,0.044,0.38,0.544,0.001,0.001,3405.0,5529.0,1.0
z_subj(pos.Ic).32,0.413,0.042,0.334,0.489,0.001,0.0,4294.0,5423.0,1.0
z_subj(pos.Ic).33,0.535,0.044,0.451,0.617,0.001,0.001,3552.0,5563.0,1.0
z_subj(pos.Ic).34,0.544,0.039,0.47,0.615,0.001,0.0,3613.0,5541.0,1.0
z_subj(pos.Ic).35,0.383,0.042,0.307,0.462,0.001,0.001,2889.0,2618.0,1.0
z_subj(pos.Ic).36,0.453,0.041,0.375,0.529,0.001,0.0,4171.0,7134.0,1.0
z_subj(pos.Ic).37,0.435,0.053,0.343,0.527,0.001,0.001,2250.0,1619.0,1.0
z_subj(pos.Ic).38,0.574,0.039,0.502,0.647,0.001,0.001,2646.0,3641.0,1.0
z_subj(pos.Ic).39,0.475,0.042,0.398,0.553,0.001,0.001,3496.0,5505.0,1.0
z_subj(pos.Ic).40,0.486,0.043,0.399,0.562,0.001,0.001,2542.0,5496.0,1.0
z_subj(pos.Ic).41,0.492,0.042,0.414,0.571,0.001,0.0,3759.0,6423.0,1.0
z_subj(pos.Ic).42,0.49,0.043,0.411,0.572,0.001,0.001,2385.0,2073.0,1.0
z_subj(pos.Ic).43,0.536,0.037,0.468,0.605,0.001,0.0,5057.0,7762.0,1.0
z_subj(pos.Ic).44,0.538,0.043,0.457,0.616,0.001,0.001,2954.0,2339.0,1.0
z_subj(pos.Ic).45,0.506,0.042,0.428,0.584,0.001,0.001,2661.0,2814.0,1.0
z_subj(pos.Ic).46,0.542,0.045,0.46,0.624,0.001,0.001,1205.0,1790.0,1.0
z_subj(pos.Ic).47,0.554,0.038,0.482,0.625,0.001,0.001,3300.0,3636.0,1.0
z_subj(pos.Ic).48,0.498,0.041,0.42,0.571,0.001,0.001,3486.0,4232.0,1.0
z_subj(pos.Ic).49,0.459,0.044,0.377,0.54,0.001,0.001,2508.0,3502.0,1.0
z_subj(pos.Ic).50,0.478,0.041,0.402,0.556,0.001,0.0,4199.0,5129.0,1.0
z_subj(pos.Ic).51,0.466,0.041,0.387,0.54,0.001,0.001,2505.0,1797.0,1.0
z_subj(pos.Ic).52,0.477,0.043,0.397,0.556,0.001,0.001,3744.0,5988.0,1.0
