"subj_idx","congruency","AffValue","response","rt","cogflex","conf"
0,"Co","neg",1,0.555181600007927,700.162171105249,"Co_neg"
0,"Co","neg",1,0.673211900022579,700.162171105249,"Co_neg"
0,"Co","neg",1,0.666681300019263,700.162171105249,"Co_neg"
0,"Co","neg",1,0.654088300012518,700.162171105249,"Co_neg"
0,"Co","neg",0,1.57136470000842,700.162171105249,"Co_neg"
0,"Co","neg",1,0.539489800008596,700.162171105249,"Co_neg"
0,"Co","neg",1,0.851758000004338,700.162171105249,"Co_neg"
0,"Co","neg",1,0.836368999996921,700.162171105249,"Co_neg"
0,"Co","neg",1,0.758840700014844,700.162171105249,"Co_neg"
0,"Co","neg",1,0.642700900018099,700.162171105249,"Co_neg"
0,"Co","neg",1,0.625818500018795,700.162171105249,"Co_neg"
0,"Co","neg",1,0.681777900012094,700.162171105249,"Co_neg"
0,"Co","neg",0,1.35665210001753,700.162171105249,"Co_neg"
0,"Co","neg",1,0.614741900004447,700.162171105249,"Co_neg"
0,"Co","neg",1,0.648064900015015,700.162171105249,"Co_neg"
0,"Co","neg",1,0.720833200015477,700.162171105249,"Co_neg"
0,"Co","neg",1,0.971281500009354,700.162171105249,"Co_neg"
0,"Co","neg",1,0.891562700009672,700.162171105249,"Co_neg"
0,"Co","neg",1,0.614072900018073,700.162171105249,"Co_neg"
0,"Co","neg",1,0.496074200011208,700.162171105249,"Co_neg"
0,"Co","neg",1,0.642973400012124,700.162171105249,"Co_neg"
0,"Co","neg",1,0.477258500017342,700.162171105249,"Co_neg"
0,"Co","neg",1,0.921408300011535,700.162171105249,"Co_neg"
0,"Co","neg",1,1.47618830001738,700.162171105249,"Co_neg"
0,"Co","neg",1,0.543284100014716,700.162171105249,"Co_neg"
0,"Co","neg",1,0.625216900007217,700.162171105249,"Co_neg"
0,"Co","neg",1,0.71861050001462,700.162171105249,"Co_neg"
0,"Co","neg",1,0.494093900008011,700.162171105249,"Co_neg"
0,"Co","neg",1,0.715281500000856,700.162171105249,"Co_neg"
0,"Co","neg",1,0.591672400012612,700.162171105249,"Co_neg"
0,"Co","neg",1,0.629769900013343,700.162171105249,"Co_neg"
0,"Co","neg",1,0.637740400008624,700.162171105249,"Co_neg"
0,"Co","neg",1,0.852275800018106,700.162171105249,"Co_neg"
0,"Co","neg",1,0.614206000012928,700.162171105249,"Co_neg"
0,"Co","neg",1,0.62539800000377,700.162171105249,"Co_neg"
0,"Co","neg",1,0.79608850000659,700.162171105249,"Co_neg"
0,"Co","neg",1,0.948325200006366,700.162171105249,"Co_neg"
0,"Co","neg",1,0.769787600016571,700.162171105249,"Co_neg"
0,"Co","neg",1,0.657719800015911,700.162171105249,"Co_neg"
0,"Co","neg",1,0.755004400009057,700.162171105249,"Co_neg"
0,"Co","neg",1,0.576423400008935,700.162171105249,"Co_neg"
0,"Co","neg",1,0.605455200013239,700.162171105249,"Co_neg"
0,"Co","neg",1,0.597757000010461,700.162171105249,"Co_neg"
0,"Co","neg",1,0.610368700014078,700.162171105249,"Co_neg"
0,"Co","neg",1,0.57982020000054,700.162171105249,"Co_neg"
0,"Co","neg",1,0.64066340001591,700.162171105249,"Co_neg"
0,"Co","neg",1,0.534729500010144,700.162171105249,"Co_neg"
0,"Co","neg",1,0.572391300011077,700.162171105249,"Co_neg"
0,"Co","neg",1,0.528604900013306,700.162171105249,"Co_neg"
0,"Co","neg",1,0.572897100020782,700.162171105249,"Co_neg"
0,"Co","neg",1,0.587936500000069,700.162171105249,"Co_neg"
0,"Co","neg",1,0.583553500007838,700.162171105249,"Co_neg"
0,"Co","neg",1,0.510455200012075,700.162171105249,"Co_neg"
0,"Co","neg",1,0.767015500008711,700.162171105249,"Co_neg"
0,"Co","neg",1,0.616189600012149,700.162171105249,"Co_neg"
0,"Co","neg",0,1.16989470001135,700.162171105249,"Co_neg"
0,"Co","neg",1,0.559812500010594,700.162171105249,"Co_neg"
0,"Co","neg",1,1.25206030001573,700.162171105249,"Co_neg"
0,"Co","neg",1,0.595507400008501,700.162171105249,"Co_neg"
0,"Co","neg",1,0.638970200016047,700.162171105249,"Co_neg"
0,"Co","neg",1,0.55172320001293,700.162171105249,"Co_neg"
0,"Co","neg",1,1.07038090001151,700.162171105249,"Co_neg"
0,"Co","neg",1,1.19459750001261,700.162171105249,"Co_neg"
0,"Co","neg",1,0.556963700000779,700.162171105249,"Co_neg"
0,"Co","neg",1,0.604878500016639,700.162171105249,"Co_neg"
0,"Co","neg",1,0.515757000015583,700.162171105249,"Co_neg"
0,"Co","neg",1,0.602699600014603,700.162171105249,"Co_neg"
0,"Co","neg",1,0.584257200011052,700.162171105249,"Co_neg"
0,"Co","neg",1,0.784884200009401,700.162171105249,"Co_neg"
0,"Co","neg",1,0.621059600016451,700.162171105249,"Co_neg"
0,"Co","neg",1,0.550799100019503,700.162171105249,"Co_neg"
0,"Co","neg",1,0.449813300016103,700.162171105249,"Co_neg"
0,"Co","neg",1,0.668505000008736,700.162171105249,"Co_neg"
0,"Co","neg",1,0.881947600006242,700.162171105249,"Co_neg"
0,"Co","neg",1,0.532569000017247,700.162171105249,"Co_neg"
0,"Co","neg",1,2.10940880000999,700.162171105249,"Co_neg"
0,"Co","neg",1,0.529413800002658,700.162171105249,"Co_neg"
0,"Co","neg",1,1.57564310000453,700.162171105249,"Co_neg"
0,"Co","neg",1,0.621386100014206,700.162171105249,"Co_neg"
0,"Co","neg",1,0.550817500014091,700.162171105249,"Co_neg"
0,"Co","pos",0,0.587192200007848,700.162171105249,"Co_pos"
