target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,respFlanker.rt,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate
E3,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,,,,a,1,1.1110378,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
2f,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,,,,,l,1,0.6338766,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g3,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,l,1,1.835076,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
E8,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,,,,,a,1,0.6067095,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6g,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,,,,,l,1,0.968477,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
5H,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,,,,,a,1,2.1186392,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4A,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,,,,,a,1,1.675472,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
7F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,a,1,0.5996164,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6H,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,,,,,l,1,1.4204061,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
3a,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,,,,,a,1,0.7615535,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
9F,1,1,F,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,,,,,a,1,1.1167635,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G7,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,,,,,a,1,1.0074232,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
a6,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,,,l,1,0.7218046,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4h,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,,,l,1,0.8315265,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6A,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,a,1,1.0444287,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,a,1,0.6842481,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
3H,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,a,1,0.7819975,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
a9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,a,1,0.6658265,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
E7,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,a,1,0.7813172,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,l,1,0.6070732,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
8A,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,l,1,0.9355456,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
f5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,a,1,0.6156005,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
2a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,l,1,2.1489474,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
F7,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,a,1,0.6390027,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
h2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,l,1,2.7074439,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
F5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,a,1,1.215615,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
A9,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,a,1,0.6582369,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
3e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,l,1,0.7815731,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
f8,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,l,1,0.9697039,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G2,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,l,1,0.6731671,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
F2,1,1,F,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,a,1,0.7898339,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
5e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,l,1,0.7484492,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
A3,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,a,1,1.2694935,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4g,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,l,1,0.7874565,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
h7,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,l,1,1.0656717,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
3g,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,l,1,1.0470654,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
8a,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,l,1,0.6461629,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4E,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,l,1,0.8459796,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
E5,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,a,1,0.6360494,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g6,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,l,1,0.8260906,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
2e,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,l,1,0.7547968,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
h8,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,l,1,0.9998794,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G6,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,a,1,0.7812171,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
a4,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,l,1,0.7479255,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
9H,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,a,1,1.965974,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
7H,2,2,7,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,a,1,1.0093615,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
9f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,l,1,2.4484034,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
8E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,a,1,1.2177404,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
A2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,l,1,2.289622,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
H7,2,2,7,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,a,1,1.2559094,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
h9,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,l,1,1.1354677,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
8G,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,a,1,1.1207666,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
H4,2,1,4,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,l,1,1.4381773,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
A8,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,l,1,0.8564284,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g7,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,a,0,0.8321947,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
H9,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,a,1,0.774623,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
9E,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,a,1,1.0525264,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
a5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,a,1,3.5088567,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
3E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,a,1,1.1192465,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6f,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,l,1,0.7226069,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g8,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,l,1,1.2513576,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4F,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,l,1,0.5184277,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,l,1,2.0681063,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
e3,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,l,1,0.6967348,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
5g,2,1,5,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,a,1,0.8097213,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
f4,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,l,1,0.8109948,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,a,1,1.1194742,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
7A,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,a,1,0.4410151,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
F4,2,1,4,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,l,1,0.8071934,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
2g,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,l,1,0.6570511,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
7E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,a,1,0.6464213,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G4,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,a,1,0.5904549,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
2F,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,l,1,1.2645994,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
E9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,a,1,1.6413848,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
5f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,l,1,1.077943,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
e7,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,l,1,0.9564222,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
f2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,l,1,1.5608914,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,a,1,0.6281883,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
7g,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,l,1,1.5018075,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
F8,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,a,1,0.9218082,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
A7,2,1,7,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,a,1,1.1554489,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
4G,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,l,1,0.7028568,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g2,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,l,1,1.0992197,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g4,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,l,1,0.5651799,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
7a,2,1,7,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,a,1,1.1122112,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
8e,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,l,1,0.7751366,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,l,1,1.0388217,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G8,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,a,1,0.7028085,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
6F,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,l,1,1.1437676,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
g5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,a,1,0.9324358,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
G5,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,a,1,0.8878938,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
h5,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,l,1,1.5975669,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
9G,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,a,1,0.8706496,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
F3,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,a,1,0.681426,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,0,pic/flanker5.png,pic/flanker3.png,a,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,425.5289136,None,424.3400595,425.5455803,a,1,0.8597688,沮丧,l,1,1.6778678,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,0,0,pic/flanker5.png,pic/flanker1.png,s,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,430.2121214,None,429.0289982,430.2290616,s,1,0.4559239,冷笑,l,1,1.2030545,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,0,1,pic/flanker6.png,pic/flanker2.png,a,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,433.8121488,None,432.6288233,433.8289349,a,1,0.4030659,俊秀,k,1,1.1020536,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,1,pic/flanker5.png,pic/flanker3.png,a,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,437.2622944,None,436.0790404,437.278884,a,1,0.7778797,廉洁,k,1,0.8342994,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,0,0,pic/flanker6.png,pic/flanker2.png,a,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,440.8288879,None,439.6456063,440.8457361,a,1,0.4680645,悲观,l,1,0.781394,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,0,pic/flanker6.png,pic/flanker4.png,s,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,444.0790068,None,442.8957078,444.0951198,s,1,0.560884,慌忙,l,1,0.9312818,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,0,1,pic/flanker5.png,pic/flanker1.png,s,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,447.5450862,None,446.3623323,447.5615976,s,1,0.5931734,丰满,k,1,0.7473071,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,1,pic/flanker6.png,pic/flanker4.png,s,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,450.8956073,None,449.7120921,450.9123486,s,1,0.6522859,永恒,k,1,0.7281793,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,0,pic/flanker6.png,pic/flanker4.png,s,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,29,,,,467.4949266,None,466.3037854,467.5116943,s,1,0.495015,浪费,l,1,0.6945214,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,0,pic/flanker5.png,pic/flanker3.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,55,,,,470.628936,None,469.4453024,470.6455225,a,1,0.5556885,烦恼,l,1,0.6759046,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
,,,,,,1,0,pic/flanker5.png,pic/flanker3.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,23,,,,473.8289196,None,472.6448597,473.8456534,a,1,0.6144022,嘲笑,l,1,0.6107322,zy,m,20,2024_Apr_18_0857,mian,2021.2.3,59.86665302
